14 13 15 7 11 12 9 5 6 0 2 1 4 8 10 3	14028344	57	189.052	271.869	41	solved
13 5 4 10 9 12 8 14 2 3 7 1 0 15 11 6	4415279	55	756.228	233.948	43	solved
14 7 8 2 13 11 10 4 9 12 5 0 3 6 1 15	23092055	24	30	263.739	41	timeout
5 12 10 7 15 11 14 0 8 2 1 13 3 4 9 6	5253685	56	10.6507	266.208	42	solved
4 7 14 13 10 3 9 12 11 5 6 15 1 2 8 0	2021382	56	216.031	281.532	42	solved
14 7 1 9 12 3 6 15 8 11 2 5 10 0 4 13	969356	52	987.791	274.165	36	solved
2 11 15 5 13 4 6 7 12 8 10 1 9 3 14 0	7170013	52	915.447	233.837	30	solved
12 11 15 3 8 0 4 2 6 13 9 5 14 1 10 7	2618503	50	297.289	244.245	32	solved
3 14 9 11 5 4 8 2 13 12 6 7 10 1 15 0	313211	46	284.125	215.037	32	solved
13 11 8 9 0 15 7 10 4 3 6 14 5 12 2 1	17805045	59	222.044	27.735	43	solved
5 9 13 14 6 3 7 12 10 8 4 0 15 2 11 1	3525006	57	396.574	287.505	43	solved
14 1 9 6 4 8 12 5 7 2 3 0 10 11 13 15	32334	45	228.565	262.362	35	solved
3 6 5 2 10 0 15 14 1 4 13 12 9 8 11 7	831333	46	85.445	195.075	36	solved
7 6 8 1 11 5 14 10 3 4 9 13 15 2 0 12	23774525	21	30	279.078	41	timeout
13 11 4 12 1 8 9 15 6 5 14 2 7 3 10 0	24521636	23	30	311.422	44	timeout
1 3 2 5 10 9 15 6 8 14 13 11 12 4 7 0	909219	42	100.078	186.516	24	solved
15 14 0 4 11 1 6 13 7 5 8 9 3 2 10 12	24607243	31	322.004	329.687	46	timeout
6 0 14 12 1 15 9 10 11 4 7 2 8 3 5 13	1267588	55	600.383	272.594	43	solved
7 11 8 3 14 0 6 15 1 4 13 9 5 12 2 10	154092	46	118.932	229.871	36	solved
6 12 11 3 13 7 9 15 2 14 8 10 4 1 5 0	1995813	52	225.595	24.573	36	solved
12 8 14 6 11 4 7 0 5 1 10 15 3 13 9 2	5668025	54	669.163	264.034	34	solved
14 3 9 1 15 8 4 5 11 7 10 13 0 2 12 6	13338796	59	16.843	282.474	41	solved
10 9 3 11 0 13 2 14 5 6 4 7 8 15 1 12	1398857	49	145.238	242.771	33	solved
7 3 14 13 4 1 10 8 5 12 9 11 2 15 6 0	4691710	54	546.287	263.122	34	solved
11 4 2 7 1 0 10 15 6 9 14 8 3 13 5 12	6227205	52	776.884	247.003	32	solved
5 7 3 12 15 13 14 8 0 10 9 6 1 4 2 11	20161235	58	248.459	275.853	40	solved
14 1 8 15 2 6 0 3 9 12 10 13 4 7 5 11	11278428	53	139.612	254.592	33	solved
13 14 6 12 4 5 1 0 9 3 10 2 15 11 8 7	909442	52	891.641	278.727	36	solved
9 8 0 2 15 1 4 14 3 10 7 5 11 13 6 12	3917549	54	459.273	261.191	38	solved
12 15 2 6 1 14 4 8 5 3 7 0 10 13 9 11	215990	47	16.682	248.402	35	solved
12 8 15 13 1 0 5 4 6 3 2 11 9 7 14 10	192534	50	144.434	281.648	38	solved
14 10 9 4 13 6 5 8 2 12 7 0 1 3 11 15	17025056	59	209.021	292.737	43	solved
14 3 5 15 11 6 13 9 0 10 2 12 4 1 7 8	18535767	60	228.795	301.101	42	solved
6 11 7 8 13 2 5 4 1 10 3 9 14 0 12 15	2063117	52	231.843	259.825	36	solved
1 6 12 14 3 2 15 8 4 5 13 9 0 7 11 10	4626661	55	528.201	269.748	39	solved
12 6 0 4 7 3 15 1 13 9 8 11 2 14 5 10	2309697	52	255.889	257.915	36	solved
8 1 7 12 11 0 10 5 9 15 6 13 14 2 3 4	20889986	58	261.443	27.636	40	solved
7 15 8 2 13 6 3 12 11 0 4 10 9 5 1 14	827864	53	825.343	287.101	41	solved
9 0 4 10 1 14 15 3 12 6 5 7 11 13 8 2	1118025	49	118.598	242.808	35	solved
11 5 1 14 4 12 10 0 2 7 13 3 9 15 6 8	6540243	54	816.391	263.806	36	solved
8 13 10 9 11 3 15 6 0 1 2 14 12 5 4 7	5727374	54	674.053	261.219	36	solved
4 5 7 2 9 14 12 13 0 3 6 11 8 1 15 10	48447	42	346.753	23.3	30	solved
11 15 14 13 1 9 10 4 3 6 2 12 7 5 8 0	7332466	64	825.111	330.528	48	solved
12 9 0 6 8 3 5 14 2 4 11 7 10 1 15 13	2731989	50	3.0378	246.075	32	solved
3 14 9 7 12 15 0 4 1 8 5 6 11 10 2 13	539196	51	475.319	273.161	39	solved
8 4 6 1 14 12 2 15 13 10 9 5 3 7 0 11	1430455	49	1.4935	229.179	35	solved
6 10 1 14 15 8 3 5 13 0 2 7 4 9 11 12	179689	47	147.595	254.753	35	solved
8 11 4 6 7 3 10 9 2 12 15 13 0 1 5 14	119535	49	876.655	251.685	39	solved
10 0 2 4 5 1 6 12 11 13 9 7 15 3 14 8	23074600	34	30	277.699	33	timeout
12 5 13 11 2 10 0 9 7 8 4 3 14 6 15 1	4399444	53	521.516	250.994	39	solved
10 2 8 4 15 0 1 14 11 13 3 6 9 7 5 12	3031922	56	356.173	280.748	44	solved
10 8 0 12 3 7 6 2 1 14 4 11 15 13 9 5	11641228	56	14.4	268.034	38	solved
14 9 12 13 15 4 8 10 0 2 1 7 3 11 5 6	24133081	28	30	283.188	50	timeout
12 11 0 8 10 2 13 15 5 4 7 3 6 9 14 1	7221615	56	9.1932	278.207	40	solved
13 8 14 3 9 1 0 7 15 5 4 10 12 2 6 11	152123	41	115.449	206.961	29	solved
3 15 2 5 11 6 4 7 12 9 1 0 13 14 10 8	22038687	29	30	236.424	29	timeout
5 11 6 9 4 13 12 0 8 2 15 10 1 7 3 14	484048	50	449.617	261.174	36	solved
5 0 15 8 4 6 1 14 10 11 3 9 7 12 2 13	506538	51	460.606	255.453	37	solved
15 14 6 7 10 1 0 11 12 8 4 9 2 5 13 3	22602997	31	30	248.998	35	timeout
11 14 13 1 2 3 12 4 15 7 9 5 10 6 8 0	24605539	35	30	302.182	48	timeout
6 13 3 2 11 9 5 10 1 7 12 14 8 4 0 15	508957	45	47.141	217.271	31	solved
4 6 12 0 14 2 9 13 11 8 3 15 7 10 1 5	1828847	57	1.9752	290.846	43	solved
8 10 9 11 14 1 7 15 13 4 0 12 6 2 5 3	21862510	56	284.419	255.476	40	solved
5 2 14 0 7 8 6 3 11 12 13 15 4 10 9 1	5622335	51	680.578	236.183	31	solved
7 8 3 2 10 12 4 6 11 13 5 15 0 1 9 14	920623	47	971.295	226.228	31	solved
11 6 14 12 3 5 1 15 8 0 10 13 9 7 4 2	23573588	34	30	270.345	41	timeout
7 1 2 4 8 3 6 11 10 15 0 5 14 12 13 9	8430894	50	10.6544	239.214	28	solved
7 3 1 13 12 10 5 2 8 0 6 11 14 15 4 9	5471060	51	647.056	25.118	31	solved
6 0 5 15 1 14 4 9 2 13 8 10 11 12 7 3	4579005	53	5.3639	253.428	37	solved
15 1 3 12 4 0 6 5 2 8 14 9 13 10 7 11	8179227	52	10.3013	246.644	30	solved
5 7 0 11 12 1 9 10 15 6 2 3 8 4 13 14	557862	44	560.147	206.301	30	solved
12 15 11 10 4 5 14 0 13 7 1 2 9 8 3 6	22474525	29	30	237.397	38	timeout
6 14 10 5 15 8 7 1 3 4 2 0 12 9 11 13	188717	49	150.084	238.731	37	solved
14 13 4 11 15 8 6 9 0 7 3 1 2 10 12 5	1373939	56	138.254	287.716	46	solved
14 4 0 10 6 5 1 3 9 2 13 15 12 7 8 11	3440513	48	427.691	220.602	30	solved
15 10 8 3 0 6 9 5 1 14 13 11 7 2 12 4	7622602	57	947.866	277.297	41	solved
0 13 2 4 12 14 6 9 15 1 10 3 11 5 8 7	2184110	54	241.802	27.598	34	solved
3 14 13 6 4 15 8 9 5 12 10 0 2 7 1 11	619299	53	576.922	273.807	41	solved
0 1 9 7 11 13 5 3 14 12 4 2 8 6 10 15	68633	42	51.332	217.811	28	solved
11 0 15 8 13 12 3 5 10 1 4 6 14 9 7 2	3951356	57	4.5947	269.136	43	solved
13 0 9 12 11 6 3 5 15 8 1 10 4 14 2 7	744209	53	769.449	280.517	39	solved
14 10 2 1 13 9 8 11 7 3 6 12 15 5 4 0	23185006	31	30	270.996	40	timeout
12 3 9 1 4 5 10 2 6 11 15 0 14 7 13 8	1900358	49	212.015	241.278	31	solved
15 8 10 7 0 12 14 1 5 9 6 3 13 11 4 2	10972804	55	12.9141	26.659	37	solved
4 7 13 10 1 2 9 6 12 8 14 5 3 0 11 15	158355	44	117.442	208.886	32	solved
6 0 5 10 11 12 9 2 1 7 4 3 14 8 13 15	195222	45	150.924	222.905	35	solved
9 5 11 10 13 0 2 1 8 6 14 12 4 7 3 15	4681483	52	537.619	25.962	34	solved
15 2 12 11 14 13 9 5 1 3 8 7 0 10 6 4	24190404	37	30	283.999	43	timeout
11 1 7 4 10 13 3 8 9 14 0 15 6 5 2 12	3559259	54	412.523	264.619	38	solved
5 4 7 1 11 12 14 15 10 13 8 6 2 0 9 3	820923	50	805.141	260.792	36	solved
