14028344,57,12.964,27.1869,41
4415279,55,3.50254,23.3948,43
30003145,59,27.1738,27.7517,41
5253685,56,4.08263,26.6208,42
2021382,56,1.52948,28.1532,42
969356,52,0.738586,27.4165,36
7170013,52,6.14397,23.3837,30
2618503,50,1.99448,24.4245,32
313211,46,0.209297,21.5037,32
17805045,59,15.0449,27.735,43
3525006,57,2.83034,28.7505,43
32334,45,0.0176156,26.2362,35
831333,46,0.637377,19.5075,36
26088053,59,23.7028,28.499,41
25792756,62,23.1751,31.4546,44
909219,42,0.658858,18.6516,24
-,-,-,-,-
1267588,55,0.872064,27.2594,43
154092,46,0.0839012,22.9871,36
1995813,52,1.61339,24.573,36
5668025,54,4.5165,26.4034,34
13338796,59,11.6392,28.2474,41
1398857,49,0.983009,24.2771,33
4691710,54,3.78041,26.3122,34
6227205,52,5.41885,24.7003,32
20161235,58,16.5008,27.5853,40
11278428,53,9.11032,25.4592,33
909442,52,0.643679,27.8727,36
3917549,54,3.20701,26.1191,38
215990,47,0.136372,24.8402,35
192534,50,0.126326,28.1648,38
17025056,59,14.1927,29.2737,43
18535767,60,15.1628,30.1101,42
2063117,52,1.55835,25.9825,36
4626661,55,3.66227,26.9748,39
2309697,52,1.78624,25.7915,36
20889986,58,17.2143,27.636,40
827864,53,0.585621,28.7101,41
1118025,49,0.828577,24.2808,35
6540243,54,5.64924,26.3806,36
5727374,54,4.49577,26.1219,36
48447,42,0.0260607,23.3,30
7332466,64,6.00573,33.0528,48
2731989,50,2.0626,24.6075,32
539196,51,0.37632,27.3161,39
1430455,49,1.08154,22.9179,35
179689,47,0.10649,25.4753,35
119535,49,0.0673583,25.1685,39
-,-,-,-,-
4399444,53,3.50978,25.0994,39
3031922,56,2.53547,28.0748,44
11641228,56,9.42375,26.8034,38
-,-,-,-,-
7221615,56,6.05684,27.8207,40
152123,41,0.0822607,20.6961,29
-,-,-,-,-
484048,50,0.312463,26.1174,36
506538,51,0.348373,25.5453,37
-,-,-,-,-
-,-,-,-,-
508957,45,0.330108,21.7271,31
1828847,57,1.4895,29.0846,43
21862510,56,18.367,25.5476,40
5622335,51,4.42403,23.6183,31
920623,47,0.662332,22.6228,31
-,-,-,-,-
8430894,50,7.06907,23.9214,28
5471060,51,4.365,25.118,31
4579005,53,3.65114,25.3428,37
8179227,52,6.90638,24.6644,30
557862,44,0.375205,20.6301,30
-,-,-,-,-
188717,49,0.114664,23.8731,37
1373939,56,1.03239,28.7716,46
3440513,48,2.94712,22.0602,30
7622602,57,6.4857,27.7297,41
2184110,54,1.65532,27.598,34
619299,53,0.436653,27.3807,41
68633,42,0.0391136,21.7811,28
3951356,57,3.23601,26.9136,43
744209,53,0.570839,28.0517,39
-,-,-,-,-
1900358,49,1.48308,24.1278,31
10972804,55,8.91548,26.659,37
158355,44,0.0898349,20.8886,32
195222,45,0.131077,22.2905,35
4681483,52,3.79589,25.962,34
-,-,-,-,-
3559259,54,2.91268,26.4619,38
820923,50,0.644471,26.0792,36
18150875,57,15.2182,26.8734,41
-,-,-,-,-
438960,46,0.293418,20.9652,34
276325,53,0.183081,27.7666,45
751475,50,0.56641,25.0634,34
1263033,49,0.943108,22.9222,35
191601,44,0.115862,21.2678,32
9499694,54,7.93683,25.1273,34
5342754,57,4.17333,28.7625,39
4484857,54,3.61991,25.1702,38
